ID,Zeile (Rohquelle),Marke,Modell,Brutto kWh,Netto kWh,Puffer kWh,Puffer %,Status,Alias von Zeile,Modelljahr von,Modelljahr bis,Batterie-Generation,Bemerkung,Quelle,Issue,Marke (Rohquelle),Modell (Rohquelle),Brutto (Rohquelle),Netto (Rohquelle)
Z423,423,Volkswagen,ID.4 Pro S,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Volkswagen,ID.4 Pro S,82 kWh,77.0 kWh
Z424,424,Volkswagen,ID.4 Pure,55.0,52.0,3.0,5.5,unverändert,,,,,,Rohquelle,,Volkswagen,ID.4 Pure,55 kWh,52.0 kWh
Z425,425,Volkswagen,ID.4 Pure Performance,55.0,52.0,3.0,5.5,unverändert,,,,,,Rohquelle,,Volkswagen,ID.4 Pure Performance,55 kWh,52.0 kWh
Z426,426,Volkswagen,ID.4 RWD,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Volkswagen,ID.4 RWD,82 kWh,77.0 kWh
Z427,427,Volkswagen,ID.5 GTX,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Volkswagen,ID.5 GTX,82 kWh,77.0 kWh
Z428,428,Volkswagen,ID.5 GTX 4M,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Volkswagen,ID.5 GTX 4M,82 kWh,77.0 kWh
Z429,429,Volkswagen,ID.5 Pro,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Volkswagen,ID.5 Pro,82 kWh,77.0 kWh
Z430,430,Volkswagen,ID.5 Pro Performance,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Volkswagen,ID.5 Pro Performance,82 kWh,77.0 kWh
Z431,431,Volkswagen,ID.7 GTX 4Motion,91.0,86.0,5.0,5.5,unverändert,,,,,,Rohquelle,,Volkswagen,ID.7 GTX 4Motion,91 kWh,86.0 kWh
Z432,432,Volkswagen,ID.7 GTX 4Motion Tourer,91.0,86.0,5.0,5.5,unverändert,,,,,,Rohquelle,,Volkswagen,ID.7 GTX 4Motion Tourer,91 kWh,86.0 kWh
Z433,433,Volkswagen,ID.7 Pro,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Volkswagen,ID.7 Pro,82 kWh,77.0 kWh
Z434,434,Volkswagen,ID.7 Pro S,91.0,86.0,5.0,5.5,unverändert,,,,,,Rohquelle,,Volkswagen,ID.7 Pro S,91 kWh,86.0 kWh
Z435,435,Volkswagen,ID.7 Pro S Tourer,91.0,86.0,5.0,5.5,unverändert,,,,,,Rohquelle,,Volkswagen,ID.7 Pro S Tourer,91 kWh,86.0 kWh
Z436,436,Volkswagen,ID.7 Pro Tourer,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Volkswagen,ID.7 Pro Tourer,82 kWh,77.0 kWh
Z437,437,Volkswagen,ID. Buzz,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Volkswagen,ID.BUZZ,82 kWh,77.0 kWh
Z438,438,Volkswagen,ID. Buzz AWD,91.0,86.0,5.0,5.5,unverändert,,,,,,Rohquelle,,Volkswagen,ID.BUZZ AWD,91 kWh,86.0 kWh
Z439,439,Volkswagen,ID. Buzz Cargo,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Volkswagen,ID.BUZZ Cargo,82 kWh,77.0 kWh
Z440,440,Volkswagen,ID. Buzz Cargo Pro,84.0,79.0,5.0,6.0,unverändert,,,,,,Rohquelle,,Volkswagen,ID.BUZZ Cargo Pro,84 kWh,79.0 kWh
Z441,441,Volkswagen,ID. Buzz Cargo Pro 4M,84.0,79.0,5.0,6.0,unverändert,,,,,,Rohquelle,,Volkswagen,ID.BUZZ Cargo Pro 4M,84 kWh,79.0 kWh
Z442,442,Volkswagen,ID. Buzz GTX,84.0,79.0,5.0,6.0,unverändert,,,,,,Rohquelle,,Volkswagen,ID.BUZZ GTX,84 kWh,79.0 kWh
Z443,443,Volkswagen,ID. Buzz GTX,91.0,86.0,5.0,5.5,unverändert,,,,,,Rohquelle,,Volkswagen,ID.BUZZ GTX,91 kWh,86.0 kWh
Z444,444,Volkswagen,ID. Buzz LWB,91.0,86.0,5.0,5.5,unverändert,,,,,,Rohquelle,,Volkswagen,ID.BUZZ LWB,91 kWh,86.0 kWh
Z445,445,Volkswagen,ID. Buzz Pro,84.0,79.0,5.0,6.0,unverändert,,,,,,Rohquelle,,Volkswagen,ID.BUZZ Pro,84 kWh,79.0 kWh
Z446,446,Volkswagen,ID. Buzz Pro,91.0,86.0,5.0,5.5,unverändert,,,,,,Rohquelle,,Volkswagen,ID.BUZZ Pro,91 kWh,86.0 kWh
Z447,447,Volkswagen,ID. Buzz Pure,63.0,59.0,4.0,6.3,unverändert,,,,,,Rohquelle,,Volkswagen,ID.BUZZ Pure,63 kWh,59.0 kWh
Z448,448,Volkswagen,ID. Buzz RWD,91.0,86.0,5.0,5.5,unverändert,,,,,,Rohquelle,,Volkswagen,ID.BUZZ RWD,91 kWh,86.0 kWh
Z449,449,Volvo,C40 Recharge Pure Electric,69.0,67.0,2.0,2.9,unverändert,,,,,,Rohquelle,,Volvo,C40 Recharge Pure Electric,69.0 kWh,67.0 kWh
Z450,450,Volvo,C40 Recharge Single Motor,69.0,66.0,3.0,4.3,unverändert,,,,,,Rohquelle,,Volvo,C40 Recharge Single Motor,69.0 kWh,66.0 kWh
Z451,451,Volvo,C40 Recharge Single Motor ER,82.0,79.0,3.0,3.7,unverändert,,,,,,Rohquelle,,Volvo,C40 Recharge Single Motor ER,82.0 kWh,79.0 kWh
Z452,452,Volvo,C40 Recharge Twin Motor,82.0,79.0,3.0,3.7,unverändert,,,,,,Rohquelle,,Volvo,C40 Recharge Twin Motor,82.0 kWh,79.0 kWh
Z453,453,Volvo,C40 Recharge Twin Pure Electric,78.0,75.0,3.0,3.8,unverändert,,,,,,Rohquelle,,Volvo,C40 Recharge Twin Pure Electric,78.0 kWh,75.0 kWh
Z454,454,Volvo,EC40 Single Motor,69.0,67.0,2.0,2.9,unverändert,,,,,,Rohquelle,,Volvo,EC40 Single Motor,69.0 kWh,67.0 kWh
Z455,455,Volvo,EC40 Single Motor ER,82.0,79.0,3.0,3.7,unverändert,,,,,,Rohquelle,,Volvo,EC40 Single Motor ER,82.0 kWh,79.0 kWh
Z456,456,Volvo,EC40 Twin Motor,82.0,79.0,3.0,3.7,unverändert,,,,,,Rohquelle,,Volvo,EC40 Twin Motor,82.0 kWh,79.0 kWh
Z457,457,Volvo,EC40 Twin Motor Performance,82.0,79.0,3.0,3.7,unverändert,,,,,,Rohquelle,,Volvo,EC40 Twin Motor Performance,82.0 kWh,79.0 kWh
Z458,458,Volvo,EX40 Single Motor,69.0,67.0,2.0,2.9,unverändert,,,,,,Rohquelle,,Volvo,EX40 Single Motor,69.0 kWh,67.0 kWh
Z459,459,Volvo,EX40 Single Motor ER,82.0,79.0,3.0,3.7,unverändert,,,,,,Rohquelle,,Volvo,EX40 Single Motor ER,82.0 kWh,79.0 kWh
Z460,460,Volvo,EX40 Twin Motor,82.0,79.0,3.0,3.7,unverändert,,,,,,Rohquelle,,Volvo,EX40 Twin Motor,82.0 kWh,79.0 kWh
Z461,461,Volvo,EX40 Twin Motor Performance,82.0,79.0,3.0,3.7,unverändert,,,,,,Rohquelle,,Volvo,EX40 Twin Motor Performance,82.0 kWh,79.0 kWh
Z462,462,Volvo,EX90 Single Motor,104.0,100.0,4.0,3.8,unverändert,,,,,,Rohquelle,,Volvo,EX90 Single Motor,104.0 kWh,100.0 kWh
Z463,463,Volvo,EX90 Twin Motor,111.0,107.0,4.0,3.6,unverändert,,,,,,Rohquelle,,Volvo,EX90 Twin Motor,111.0 kWh,107.0 kWh
Z464,464,Volvo,EX90 Twin Motor Performance,111.0,107.0,4.0,3.6,unverändert,,,,,,Rohquelle,,Volvo,EX90 Twin Motor Performance,111.0 kWh,107.0 kWh
Z465,465,Volvo,XC40 P8 AWD Recharge,78.0,75.0,3.0,3.8,unverändert,,,,,,Rohquelle,,Volvo,XC40 P8 AWD Recharge,78.0 kWh,75.0 kWh
Z466,466,Volvo,XC40 Recharge Pure Electric,69.0,67.0,2.0,2.9,unverändert,,,,,,Rohquelle,,Volvo,XC40 Recharge Pure Electric,69.0 kWh,67.0 kWh
Z467,467,Volvo,XC40 Recharge Single Motor,69.0,66.0,3.0,4.3,unverändert,,,,,,Rohquelle,,Volvo,XC40 Recharge Single Motor,69.0 kWh,66.0 kWh
Z468,468,Volvo,XC40 Recharge Single Motor ER,82.0,79.0,3.0,3.7,unverändert,,,,,,Rohquelle,,Volvo,XC40 Recharge Single Motor ER,82.0 kWh,79.0 kWh
Z469,469,Volvo,XC40 Recharge Twin Motor,82.0,79.0,3.0,3.7,unverändert,,,,,,Rohquelle,,Volvo,XC40 Recharge Twin Motor,82.0 kWh,79.0 kWh
Z470,470,Volvo,XC40 Recharge Twin Pure Electric,78.0,75.0,3.0,3.8,unverändert,,,,,,Rohquelle,,Volvo,XC40 Recharge Twin Pure Electric,78.0 kWh,75.0 kWh
