ID,Zeile (Rohquelle),Marke,Modell,Brutto kWh,Netto kWh,Puffer kWh,Puffer %,Status,Alias von Zeile,Modelljahr von,Modelljahr bis,Batterie-Generation,Bemerkung,Quelle,Issue,Marke (Rohquelle),Modell (Rohquelle),Brutto (Rohquelle),Netto (Rohquelle)
Z310,310,Renault,Zoe Q90,44.1,41.0,3.1,7.0,bestätigt,,2017,2019,Z.E. 40,Zuordnung zur Batterie-Generation Z.E. 40 bestätigt.,https://ev-database.org/car/1078/Renault-Zoe-Q90,#13,Renault,Zoe Q90,44.1 kWh,41.0 kWh
Z311,311,Renault,Zoe R110,44.1,41.0,3.1,7.0,unverändert,,,,,,Rohquelle,,Renault,Zoe R110,44.1 kWh,41.0 kWh
Z312,312,Renault,Zoe R110 Z.E. 40,44.1,41.0,3.1,7.0,bestätigt,,2018,2019,Z.E. 40,Zuordnung zur Batterie-Generation Z.E. 40 bestätigt.,https://ev-database.org/car/1128/Renault-Zoe-R110,#13,Renault,Zoe R110 Z.E. 40,44.1 kWh,41.0 kWh
Z313,313,Renault,Zoe R110 Z.E. 50,54.7,52.0,2.7,4.9,bestätigt,,2019,2024,Z.E. 50,Zuordnung zur Batterie-Generation Z.E. 50 bestätigt.,https://ev-database.org/car/1164/Renault-Zoe-ZE50-R110,#13,Renault,Zoe R110 Z.E. 50,54.7 kWh,52.0 kWh
Z314,314,Renault,Zoe R135 Z.E. 50,54.7,52.0,2.7,4.9,bestätigt,,2020,2024,Z.E. 50,Zuordnung zur Batterie-Generation Z.E. 50 bestätigt.,https://ev-database.org/uk/car/1205/Renault-Zoe-ZE50-R135,#13,Renault,Zoe R135 Z.E. 50,54.7 kWh,52.0 kWh
Z315,315,Renault,Zoe R210,25.9,23.3,2.6,10.0,unverändert,,,,,,Rohquelle,,Renault,Zoe R210,25.9 kWh,23.3 kWh
Z316,316,Renault,Zoe R240,25.9,23.3,2.6,10.0,bestätigt,,2015,2017,22 kWh,Zuordnung zur Batterie-Generation 22 kWh bestätigt.,https://ev-database.org/car/1050/Renault-Zoe-R240,#13,Renault,Zoe R240,25.9 kWh,23.3 kWh
Z318,318,Renault,Zoe R75,44.1,41.0,3.1,7.0,bestätigt,,2017,2019,Z.E. 40,Zuordnung zur Batterie-Generation Z.E. 40 bestätigt.,https://www.automobile-propre.com/articles/renault-zoe-life-r75-ze-40-lentree-de-gamme-a-lessai/,#13,Renault,Zoe R75,44.1 kWh,41.0 kWh
Z319,319,Renault,Zoe R90,44.1,41.0,3.1,7.0,bestätigt,,2017,2019,Z.E. 40,Zuordnung zur Batterie-Generation Z.E. 40 bestätigt.,https://ev-database.org/car/1077/Renault-Zoe-R90,#13,Renault,Zoe R90,44.1 kWh,41.0 kWh
Z320,320,Renault,Zoe R90 Entry,25.9,23.3,2.6,10.0,bestätigt,,2017,2018,22 kWh,Zuordnung zur Batterie-Generation 22 kWh bestätigt.,https://ev-database.org/car/1079/Renault-Zoe-R90-Entry,#13,Renault,Zoe R90 Entry,25.9 kWh,23.3 kWh
Z321,321,SEAT,Mii electric,36.8,32.3,4.5,12.2,unverändert,,,,,,Rohquelle,,Seat,Mii electric,36.8 kWh,32.3 kWh
Z322,322,Škoda,Citigo e iV,36.8,32.3,4.5,12.2,unverändert,,,,,,Rohquelle,,Skoda,Citigo-e IV,36.8 kWh,32.3 kWh
Z323,323,Škoda,Elroq 50,55.0,52.0,3.0,5.5,unverändert,,,,,,Rohquelle,,Skoda,Elroq 50,55 kWh,52.0 kWh
Z324,324,Škoda,Elroq 60,63.0,59.0,4.0,6.3,unverändert,,,,,,Rohquelle,,Skoda,Elroq 60,63 kWh,59.0 kWh
Z325,325,Škoda,Elroq 85,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Skoda,Elroq 85,82 kWh,77.0 kWh
Z326,326,Škoda,Elroq 85x,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Skoda,Elroq 85x,82 kWh,77.0 kWh
Z327,327,Škoda,Enyaq 85,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Skoda,Enyaq 85,82 kWh,77.0 kWh
Z328,328,Škoda,Enyaq 85 Coupé,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Skoda,Enyaq 85 Coupe,82 kWh,77.0 kWh
Z329,329,Škoda,Enyaq 85x,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Skoda,Enyaq 85x,82 kWh,77.0 kWh
Z330,330,Škoda,Enyaq 85x Coupé,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Skoda,Enyaq 85x Coupe,82 kWh,77.0 kWh
Z331,331,Škoda,Enyaq iV 50,55.0,52.0,3.0,5.5,unverändert,,,,,,Rohquelle,,Skoda,Enyaq iV 50,55 kWh,52.0 kWh
Z332,332,Škoda,Enyaq iV 50 Coupé,55.0,52.0,3.0,5.5,unverändert,,,,,,Rohquelle,,Skoda,Enyaq iV 50 Coupe,55 kWh,52.0 kWh
Z333,333,Škoda,Enyaq iV 60,62.0,58.0,4.0,6.5,unverändert,,,,,,Rohquelle,,Skoda,Enyaq iV 60,62 kWh,58.0 kWh
Z334,334,Škoda,Enyaq iV 60,63.0,59.0,4.0,6.3,unverändert,,,,,,Rohquelle,,Skoda,Enyaq iV 60,63 kWh,59.0 kWh
Z335,335,Škoda,Enyaq iV 60 Coupé,62.0,58.0,4.0,6.5,unverändert,,,,,,Rohquelle,,Skoda,Enyaq iV 60 Coupe,62 kWh,58.0 kWh
Z336,336,Škoda,Enyaq iV 60 Coupé,63.0,59.0,4.0,6.3,unverändert,,,,,,Rohquelle,,Skoda,Enyaq iV 60 Coupe,63 kWh,59.0 kWh
Z337,337,Škoda,Enyaq iV 80,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Skoda,Enyaq iV 80,82 kWh,77.0 kWh
Z338,338,Škoda,Enyaq iV 80 Coupé,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Skoda,Enyaq iV 80 Coupe,82 kWh,77.0 kWh
Z339,339,Škoda,Enyaq iV 80x,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Skoda,Enyaq iV 80x,82 kWh,77.0 kWh
Z340,340,Škoda,Enyaq iV 85,82.0,77.0,5.0,6.1,Alias,327,,,,Gleiche Batterie wie Zeile 327; „iV“ entfiel bei der Umbenennung.,Rohquelle,#16,Skoda,Enyaq iV 85,82 kWh,77.0 kWh
Z341,341,Škoda,Enyaq iV 85 Coupé,82.0,77.0,5.0,6.1,Alias,328,,,,Gleiche Batterie wie Zeile 328; „iV“ entfiel bei der Umbenennung.,Rohquelle,#16,Skoda,Enyaq iV 85 Coupe,82 kWh,77.0 kWh
Z342,342,Škoda,Enyaq iV 85x,82.0,77.0,5.0,6.1,Alias,329,,,,Gleiche Batterie wie Zeile 329; „iV“ entfiel bei der Umbenennung.,Rohquelle,#16,Skoda,Enyaq iV 85x,82 kWh,77.0 kWh
Z343,343,Škoda,Enyaq iV 85x Coupé,82.0,77.0,5.0,6.1,Alias,330,,,,Gleiche Batterie wie Zeile 330; „iV“ entfiel bei der Umbenennung.,Rohquelle,#16,Skoda,Enyaq iV 85x Coupe,82 kWh,77.0 kWh
Z344,344,Škoda,Enyaq iV RS,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Skoda,Enyaq iV RS,82 kWh,77.0 kWh
